Bitcoin,
Ethereum (ETH),
XRP (XRP),
Bitcoin Cash (BCH),
EOS (EOS),
Litecoin (LTC),
Stellar (XLM),
Cardano (ADA),
Tether (USDT),
IOTA (MIOTA),
TRON (TRX),
NEO (NEO),
Monero (XMR),
Dash (DASH),
Ethereum Classic (ETC),
NEM (XEM),
Binance Coin (BNB),
Tezos (XTZ),
VeChain (VEN),
OmiseGO (OMG),
Zcash (ZEC),
Qtum (QTUM),
Lisk (LSK),
Bytecoin (BCN),
Zilliqa (ZIL),
0x (ZRX),
ICON (ICX),
Ontology (ONT),
Bitcoin Gold (BTG),
Decred (DCR),
BitShares (BTS),
Aeternity (AE),
Maker (MKR),
Siacoin (SC),
DigiByte (DGB),
Steem (STEEM),
Verge (XVG),
Basic Attention Token (BAT),
Augur (REP),
Bitcoin Diamond (BCD),
Nano (NANO),
KuCoin Shares (KCS),
Bytom (BTM),
Pundi X (NPXS),
Dogecoin (DOGE),
Waves (WAVES),
Waltonchain (WTC),
Mixin (XIN),
Golem (GNT),
RChain (RHOC),
Populous (PPT),
Stratis (STRAT),
Status (SNT),
Wanchain (WAN),
Hshare (HSR),
Mithril (MITH),
DigixDAO (DGD),
IOST (IOST),
Bitcoin Private (BTCP),
Aion (AION),
Huobi Token (HT),
MaidSafeCoin (MAID),
Komodo (KMD),
GXChain (GXS),
Loopring (LRC),
Ardor (ARDR),
aelf (ELF),
Nebulas (NAS),
Ark (ARK),
MonaCoin (MONA),
ReddCoin (RDD),
Kyber Network (KNC),
FunFair (FUN),
Loom Network (LOOM),
Emercoin (EMC),
MOAC (MOAC),
Gas (GAS),
Power Ledger (POWR),
Cryptonex (CNX),
Dentacoin (DCN),
Kin (KIN),
WAX (WAX),
Bancor (BNT),
Ethos (ETHOS),
Dropil (DROP),
MCO (MCO),
PIVX (PIVX),
Nuls (NULS),
Veritaseum (VERI),
Decentraland (MANA),
CyberMiles (CMT),
Paypex (PAYX),
QASH (QASH),
Factom (FCT),
Polymath (POLY),
ZenCash (ZEN),
Elastos (ELA),
TenX (PAY),
ZCoin (XZC),
Nxt (NXT),
Noah Coin (NOAH),
Theta Token (THETA),
Enigma (ENG),
Gifto (GTO),
Cortex (CTXC),
TrueUSD (TUSD),
Electroneum (ETN),
Centrality (CENNZ),
SmartCash (SMART),
Byteball Bytes (GBYTE),
Substratum (SUB),
Syscoin (SYS),
Nexus (NXS),
Scry.info (DDD),
Storm (STORM),
Bibox Token (BIX),
Game.com (GTC),
WaykiChain (WICC),
ChainLink (LINK),
Skycoin (SKY),
Dragonchain (DRGN),
Matrix AI Network (MAN),
SALT (SALT),
ODEM (ODE),
High Performance Blockchain (HPB),
Revain (R),
Fusion (FSN),
Blocknet (BLOCK),
TokenPay (TPAY),
Civic (CVC),
Storj (STORJ),
Santiment Network Token (SAN),
iExec RLC (RLC),
SingularityNET (AGI),
CyberVein (CVT),
Iconomi (ICN),
BitcoinDark (BTCD),
MediShares (MDS),
Nucleus Vision (NCASH),
Dai (DAI),
Metaverse ETP (ETP),
Neblio (NEBL),
Nexo (NEXO),
DeepBrain Chain (DBC),
Holo (HOT),
TaTaTu (TTU),
SmartMesh (SMT),
Nexty (NTY),
Achain (ACT),
Particl (PART),
Bluzelle (BLZ),
Time New Bank (TNB),
BnkToTheFuture (BFT),
Request Network (REQ),
Enjin Coin (ENJ),
Gnosis (GNO),
Bottos (BTO),
Ignis (IGNIS),
Streamr DATAcoin (DATA),
Cindicator (CND),
Aragon (ANT),
Docademic (MTC),
THEKEY (TKY),
Ruff (RUFF),
Dynamic Trading Rights (DTR),
SONM (SNM),
Credits (CS),
Vertcoin (VTC),
Dent (DENT),
Quantstamp (QSP),
Safe Exchange Coin (SAFEX),
Groestlcoin (GRS),
Ambrosus (AMB),
Asch (XAS),
Arcblock (ABT),
Ubiq (UBQ),
True Chain (TRUE),
DEW (DEW),
SIRIN LABS Token (SRN),
Peercoin (PPC),
BOScoin (BOS),
PRIZM (PZM),
Storiqa (STQ),
Raiden Network Token (RDN),
Pillar (PLR),
Cube (AUTO),
Sakura Bloom (SKB),
DigitalNote (XDN),
All Sports (SOC),
Po.et (POE),
CRYPTO20 (C20),
Aston (ATX),
Bread (BRD),
POA Network (POA),
GoChain (GO),
EDUCare (EKT),
ZClassic (ZCL),
Bitcoin Interest (BCI),
Genaro Network (GNX),
BLOCKv (VEE),
Mainframe (MFT),
eosDAC (EOSDAC),
Trade Token (TIO),
Tokenomy (TEN),
Telcoin (TEL),
SophiaTX (SPHTX),
Selfkey (KEY),
Primecoin (XPM),
KickCoin (KICK),
Crypterium (CRPT),
Metal (MTL),
Nectar (NEC),
IHT Real Estate Protocol (IHT),
bitCNY (BITCNY),
Edgeless (EDG),
Odyssey (OCN),
Unobtanium (UNO),
BridgeCoin (BCO),
Electra (ECA),
GameCredits (GAME),
Genesis Vision (GVT),
DATA (DTA),
Apex (CPX),
IoTeX (IOTX),
LGO Exchange (LGO),
Endor Protocol (EDR),
Ink (INK),
ETHLend (LEND),
DAEX (DAX),
Red Pulse (RPX),
Rock (RKT),
AdEx (ADX),
WhiteCoin (XWC),
MinexCoin (MNX),
NKN (NKN),
BitBay (BAY),
Einsteinium (EMC2),
NavCoin (NAV),
Eidoo (EDO),
Stakenet (XSN),
OriginTrail (TRAC),
Burst (BURST),
Ternio (TERN),
QuarkChain (QKC),
Bitcore (BTX),
Hydro (HYDRO),
TokenCard (TKN),
UTRUST (UTK),
Internet Node Token (INT),
IoT Chain (ITC),
Viacoin (VIA),
Distributed Credit Chain (DCC),
NANJCOIN (NANJ),
Jibrel Network (JNT),
Gulden (NLG),
Litecoin Cash (LCC),
Tao (XTO),
SwftCoin (SWFTC),
SpankChain (SPANK),
LoyalCoin (LYL),
SaluS (SLS),
OST (OST),
ATN (ATN),
Wagerr (WGR),
PCHAIN (PAI),
Delphy (DPY),
Quantum Resistant Ledger (QRL),
AirSwap (AST),
SingularDTV (SNGLS),
Eximchain (EXC),
Hydro Protocol (HOT),
Universa (UTNP),
Cryptaur (CPT),
Ripio Credit Network (RCN),
district0x (DNT),
Aeon (AEON),
TomoChain (TOMO),
FairCoin (FAIR),
Republic Protocol (REN),
Namecoin (NMC),
MobileGo (MGO),
BABB (BAX),
APIS (APIS),
Cobinhood (COB),
Covesting (COV),
AppCoins (APPC),
Credo (CREDO),
Lympo (LYM),
PayPie (PPP),
FuzeX (FXT),
BitRent (RNTB),
Mothership (MSP),
Counterparty (XCP),
0chain (ZCN),
ION (ION),
CPChain (CPC),
GINcoin (GIN),
Aurora DAO (AURA),
Ravencoin (RVN),
Modum (MOD),
CloakCoin (CLOAK),
Mobius (MOBI),
OneRoot Network (RNT),
ugChain (UGC),
WePower (WPR),
Linda (LINDA),
LBRY Credits (LBC),
Tierion (TNT),
YEE (YEE),
MediBloc [QRC20] (MED),
Spectre.ai Dividend Token (SXDT),
Presearch (PRE),
Wings (WINGS),
Steem Dollars (SBD),
Zeepin (ZPT),
INS Ecosystem (INS),
MARK.SPACE (MRK),
Feathercoin (FTC),
Maecenas (ART),
Havven (HAV),
TokenClub (TCT),
NAGA (NGC),
PACcoin ($PAC),
Etherparty (FUEL),
Phore (PHR),
Dock (DOCK),
Lunyr (LUN),
Stox (STX),
Soarcoin (SOAR),
MediBloc [ERC20] (MEDX),
Banca (BANCA),
OracleChain (OCT),
Decision Token (HST),
WaBi (WABI),
HTMLCOIN (HTML),
Zebi (ZCO),
United Traders Token (UTT),
Blox (CDT),
IXT (IXT),
TrustNote (TTT),
DATx (DATX),
Ivy (IVY),
LEOcoin (LEO),
Datum (DAT),
Hive Project (HVN),
DECENT (DCT),
Experience Points (XP),
VIBE (VIBE),
TaaS (TAAS),
YOYOW (YOYOW),
Bankex (BKX),
Peerplays (PPY),
CasinoCoin (CSC),
TE-FOOD (TFD),
Melon (MLN),
Envion (EVN),
XinFin Network (XDCE),
CEEK VR (CEEK),
Sentinel (SENT),
Bezant (BZNT),
Cashaa (CAS),
Pura (PURA),
Blackmoon (BMC),
FirstBlood (1ST),
Swarm (SWM),
Humaniq (HMQ),
ECC (ECC),
Primas (PST),
HempCoin (THC),
QLINK (QLC),
Viberate (VIB),
DecentBet (DBET),
XTRABYTES (XBY),
CashBet Coin (CBC),
LinkEye (LET),
U Network (UUU),
Fortuna (FOTA),
BrahmaOS (BRM),
BlockMason Credit Protocol (BCPT),
Pepe Cash (PEPECASH),
Elastic (XEL),
XMax (XMX),
AICHAIN (AIT),
bitUSD (BITUSD),
Polybius (PLBT),
Mercury (MER),
Rialto (XRL),
Oyster (PRL),
Shift (SHIFT),
Electrify.Asia (ELEC),
SHIELD (XSH),
Unikoin Gold (UKG),
Triggers (TRIG),
QunQun (QUN),
Qbao (QBT),
Zeusshield (ZSC),
Synereo (AMP),
Neumark (NEU),
Karma (KRM),
COSS (COSS),
SelfSell (SSC),
Ormeus Coin (ORME),
PotCoin (POT),
Bismuth (BIS),
Cofound.it (CFI),
Quantum (QAU),
ColossusXT (COLX),
Constellation (DAG),
Smartlands (SLT),
Everex (EVX),
STK (STK),
Boolberry (BBR),
Bloom (BLT),
Medicalchain (MTN),
DeepOnion (ONION),
Incent (INCNT),
Rate3 (RTE),
Propy (PRO),
Olympus Labs (MOT),
ProChain (PRA),
Moeda Loyalty Points (MDA),
Pascal Coin (PASC),
SureRemit (RMT),
GridCoin (GRC),
SpaceChain (SPC),
Neurotoken (NTK),
RevolutionVR (RVR),
Crowd Machine (CMCT),
DADI (DADI),
Numeraire (NMR),
MedicCoin (MEDIC),
Merculet (MVP),
Bitcoin Green (BITG),
LATOKEN (LA),
Chronobank (TIME),
BlackCoin (BLK),
Bodhi (BOT),
LUXCoin (LUX),
Diamond (DMD),
XYO Network (XYO),
AI Doctor (AIDOC),
VeriCoin (VRC),
Restart Energy MWAT (MWAT),
Trinity Network Credit (TNC),
Datawallet (DXT),
E-Dinar Coin (EDR),
Oxycoin (OXY),
DeviantCoin (DEV),
Lamden (TAU),
MonetaryUnit (MUE),
Alphacat (ACAT),
SunContract (SNC),
NewYorkCoin (NYC),
adToken (ADT),
Databits (DTB),
AurumCoin (AU),
Clams (CLAM),
Uquid Coin (UQC),
Bean Cash (BITB),
Expanse (EXP),
Switcheo (SWTH),
Monetha (MTH),
LockTrip (LOC),
Radium (RADS),
Blocktix (TIX),
carVertical (CV),
DIMCOIN (DIM),
Callisto Network (CLO),
Bitcoin Atom (BCA),
OAX (OAX),
StrongHands (SHND),
Refereum (RFR),
Mooncoin (MOON),
CoinPoker (CHP),
DMarket (DMT),
Dimecoin (DIME),
Sumokoin (SUMO),
Smartshare (SSP),
Aeron (ARN),
Matchpool (GUP),
Nework (NKC),
Silent Notary (SNTR),
Crown (CRW),
ALQO (ALQO),
Flash (FLASH),
NoLimitCoin (NLC2),
SIBCoin (SIB),
Etheroll (DICE),
I/O Coin (IOC),
Hi Mutual Society (HMC),
Banyan Network (BBN),
SwissBorg (CHSB),
The ChampCoin (TCC),
ALAX (ALX),
Bulwark (BWK),
BetterBetting (BETR),
Proxeus (XES),
DNotes (NOTE),
Measurable Data Token (MDT),
Remme (REM),
Phantasma (SOUL),
SolarCoin (SLR),
LIFE (LIFE),
The Abyss (ABYSS),
Agrello (DLT),
Blockport (BPT),
CVCoin (CVCOIN),
DubaiCoin (DBIX),
Energo (TSL),
Paragon (PRG),
Global Currency Reserve (GCR),
Gems  (GEM),
Divi (DIVX),
Omni (OMNI),
Russian Miner Coin (RMC),
ZrCoin (ZRC),
NeosCoin (NEOS),
PikcioChain (PKC),
Dynamic (DYN),
Hexx (HXX),
Patron (PAT),
Hacken (HKN),
Elixir (ELIX),
UpToken (UP),
EchoLink (EKO),
NaPoleonX (NPX),
ATMChain (ATM),
Cappasity (CAPP),
Nebula AI (NBAI),
Friendz (FDZ),
Aphelion (APH),
Hurify (HUR),
Mossland (MOC),
Sprouts (SPRTS),
Fluz Fluz (FLUZ),
SRCOIN (SRCOIN),
Myriad (XMY),
HeroNode (HER),
DomRaider (DRT),
EnergiToken (ETK),
DAOstack (GEN),
Novacoin (NVC),
PolicyPal Network (PAL),
REBL (REBL),
FlorinCoin (FLO),
AdHive (ADH),
InsurePal (IPL),
Rentberry (BERRY),
Zap (ZAP),
Rivetz (RVT),
ShipChain (SHIP),
MUSE (MUSE),
Origin Sport (ORS),
indaHash (IDH),
BitDice (CSNO),
Loki (LOKI),
Effect.AI (EFX),
Faceter (FACE),
RED (RED),
ICOS (ICOS),
OKCash (OK),
Xaurum (XAUR),
Gambit (GAM),
Stealth (XST),
Curecoin (CURE),
Fidelium (FID),
Bezop (BEZ),
Musicoin (MUSIC),
PolySwarm (NCT),
LoMoCoin (LMC),
InvestFeed (IFT),
GET Protocol (GET),
Leverj (LEV),
Nexium (NXC),
EXRNchain (EXRN),
Unibright (UBT),
Change (CAG),
aXpire (AXP),
Eroscoin (ERO),
Aventus (AVT),
Digitex Futures (DGTX),
FoldingCoin (FLDC),
Sequence (SEQ),
Debitum (DEB),
Spectrecoin (XSPEC),
Graft (GRFT),
Golos (GOLOS),
Matryx (MTX),
Swarm City (SWT),
BitSend (BSD),
Sharder (SS),
BitDegree (BDG),
CargoX (CXO),
IDEX Membership (IDXM),
Shivom (OMX),
Mintcoin (MINT),
LatiumX (LATX),
PinkCoin (PINK),
Waves Community Token (WCT),
AirToken (AIR),
Bounty0x (BNTY),
ShareX (SEXC),
Playkey (PKT),
B2BX (B2B),
Clipper Coin (CCCX),
Pirl (PIRL),
AidCoin (AID),
Bitcrystals (BCY),
Dotcoin (DOT),
Nimiq Exchange Token (NET),
BitTube (TUBE),
Patientory (PTOY),
Solaris (XLR),
Mysterium (MYST),
Dovu (DOVU),
Travelflex (TRF),
CFun (CFUN),
Pandacoin (PND),
CanYaCoin (CAN),
Energycoin (ENRG),
BitClave (CAT),
Helbiz (HBZ),
BitConnect (BCC),
Everus (EVR),
TrueFlip (TFL),
ClearPoll (POLL),
LALA World (LALA),
Hubii Network (HBT),
MaxCoin (MAX),
Primalbase Token (PBT),
Pareto Network (PARETO),
Sentinel Chain (SENC),
Snovio (SNOV),
XPA (XPA),
NPER (NPER),
MktCoin (MLM),
Zilla (ZLA),
adbank (ADB),
EncrypGen (DNA),
CHIPS (CHIPS),
Polis (POLIS),
HEAT (HEAT),
Colu Local Network (CLN),
Masari (MSR),
Profile Utility Token (PUT),
Privatix (PRIX),
Morpheus Labs (MITX),
Experty (EXY),
JET8 (J8T),
DAO.Casino (BET),
1World (1WO),
CoinFi (COFI),
WeTrust (TRST),
GoByte (GBX),
Ink Protocol (XNK),
Linker Coin (LNC),
Global Cryptocurrency (GCC),
Bee Token (BEE),
CommerceBlock (CBT),
Circuits of Value (COVAL),
OBITS (OBITS),
Local World Forwarders (LWF),
Flixxo (FLIXX),
Auroracoin (AUR),
ToaCoin (TOA),
BitcoinZ (BTCZ),
ATBCoin (ATB),
VeriME (VME),
Lendingblock (LND),
HollyWoodCoin (HWC),
Zippie (ZIPT),
Travala (AVA),
Payfair (PFR),
Devery (EVE),
Espers (ESP),
Anoncoin (ANC),
MyBit Token (MYB),
Syndicate (SYNX),
Leadcoin (LDC),
Gladius Token (GLA),
Sether (SETH),
Pesetacoin (PTC),
ArtByte (ABY),
Peculium (PCL),
BitStation (BSTN),
Stipend (SPD),
Kore (KORE),
Bitcoin Plus (XBC),
Thrive Token (THRT),
Sharechain (SSS),
Blue Protocol (BLUE),
2GIVE (2GIVE),
Bela (BELA),
Block Array (ARY),
Dashcoin (DSH),
HOQU (HQX),
Spectiv (SIG),
Sharpe Platform Token (SHP),
Universal Currency (UNIT),
Yocoin (YOC),
Spectre.ai Utility Token (SXUT),
Vice Industry Token (VIT),
AdShares (ADST),
Insights Network (INSTAR),
Dether (DTH),
0xBitcoin (0xBTC),
FidentiaX (FDX),
SpreadCoin (SPR),
Altcoin (ALT),
GoldCoin (GLD),
Haven Protocol (XHV),
Internxt (INXT),
Internet of People (IOP),
BuzzCoin (BUZZ),
Hackspace Capital (HAC),
Worldcore (WRC),
Tokes (TKS),
Cryptopay (CPAY),
Indorse Token (IND),
Zoin (ZOI),
IP Exchange (IPSX),
Vezt (VZT),
vSlice (VSL),
GeoCoin (GEO),
EZToken (EZT),
Publica (PBL),
Social Send (SEND),
NuBits (USNBT),
APR Coin (APR),
Atmos (ATMOS),
Zephyr (ZEPH),
EuropeCoin (ERC),
Neutron (NTRN),
Sphere (SPHR),
SportyCo (SPF),
HelloGold (HGT),
Auctus (AUC),
Education Ecosystem (LEDU),
Breakout Stake (BRX),
CryptoCarbon (CCRB),
Rupaya (RUPX),
DopeCoin (DOPE),
Bullion (CBX),
FLIP (FLP),
Riecoin (RIC),
Upfiring (UFR),
Qwark (QWARK),
Capricoin (CPC),
FedoraCoin (TIPS),
TransferCoin (TX),
Oyster Shell (SHL),
ATLANT (ATL),
Terracoin (TRC),
FintruX Network (FTX),
Carboncoin (CARBON),
Memetic / PepeCoin (MEME),
VeriumReserve (VRM),
eBoost (EBST),
COPYTRACK (CPY),
Karbo (KRB),
Utrum (OOT),
Gatcoin (GAT),
BioCoin (BIO),
Aditus (ADI),
Paymon (PMNT),
Tokia (TKA),
ExclusiveCoin (EXCL),
LOCIcoin (LOCI),
Voise (VOISE),
Maverick Chain (MVC),
Dero (DERO),
Guaranteed Ethurance Token Extra (GETX),
HiCoin (XHI),
Naviaddress (NAVI),
HEROcoin (PLAY),
Open Trading Network (OTN),
Sexcoin (SXC),
CampusCoin (CMPCO),
Elite (1337),
Coinlancer (CL),
Aigang (AIX),
Iungo (ING),
CannabisCoin (CANN),
AMLT (AMLT),
B3Coin (KB3),
MyWish (WISH),
BiblePay (BBP),
FORCE (FOR),
HyperStake (HYP),
Viuly (VIU),
FundRequest (FND),
Denarius (DNR),
Lampix (PIX),
Bonpay (BON),
KanadeCoin (KNDC),
Darcrus (DAR),
Uniform Fiscal Object (UFO),
Forty Seven Bank (FSBT),
Parkgene (GENE),
Crave (CRAVE),
Chainium (CHX),
Hush (HUSH),
CryptoPing (PING),
onG.social (ONG),
Xenon (XNN),
Breakout (BRK),
Bigbom (BBO),
Sugar Exchange (SGR),
Digitalcoin (DGC),
XGOX (XGOX),
Ergo (EFYT),
SyncFab (MFG),
On.Live (ONL),
Vsync (VSX),
Daneel (DAN),
MicroMoney (AMM),
Bob's Repair (BOB),
WeAreSatoshi (WSX),
Autonio (NIO),
BlitzPredict (XBP),
Ace (ACE),
PutinCoin (PUT),
eBitcoin (EBTC),
HunterCoin (HUC),
Amon (AMN),
Stellar Holdings (HOLD),
I0Coin (I0C),
Pylon Network (PYLNT),
BoutsPro (BOUTS),
GCN Coin (GCN),
StarterCoin (STAC),
SkinCoin (SKIN),
Hat.Exchange (HAT),
Nullex (NLX),
Fabric Token (FT),
BunnyCoin (BUN),
BitWhite (BTW),
